,Name,Attribute Vector,Percentiles
19,Tommaso Augello,"[0.06, 0.03, 0.32, 0.15, 0.11, 0.14, 2.26, 52.16, 72.3, 3.5, 2.47, 1.06, 0.62, 4.5, 0.5, 0.5, 0.68, 1.79, 1.12]","[66, 32, 19, 80, 65, 51, 64, 50, 22, 40, 67, 76, 10, 58, 1, 5, 5, 39, 66]"
20,Serge Aurier,"[0.05, 0.04, 0.42, 0.0, 0.05, 0.08, 1.2, 43.68, 70.7, 3.29, 1.71, 0.74, 0.6, 2.32, 2.96, 1.34, 1.57, 3.47, 2.13]","[60, 44, 29, 11, 17, 21, 8, 19, 15, 31, 33, 56, 10, 13, 93, 81, 89, 98, 96]"
21,Mehmet Aydin,"[0.0, 0.03, 0.79, 0.0, 0.13, 0.16, 2.06, 44.44, 63.6, 2.38, 1.43, 0.63, 0.79, 3.33, 3.97, 1.59, 1.75, 2.38, 2.06]","[20, 35, 66, 11, 74, 56, 53, 20, 3, 8, 23, 48, 19, 29, 99, 92, 95, 70, 95]"
22,Luke Ayling,"[0.09, 0.14, 1.05, 0.04, 0.09, 0.23, 1.75, 49.6, 69.4, 3.37, 1.23, 0.57, 2.45, 4.38, 2.89, 1.14, 1.49, 2.28, 2.06]","[79, 95, 81, 35, 50, 82, 33, 36, 13, 36, 17, 39, 85, 54, 90, 64, 84, 64, 95]"
23,César Azpilicueta,"[0.0, 0.02, 0.45, 0.0, 0.07, 0.09, 1.71, 68.14, 83.4, 4.33, 1.36, 0.4, 1.36, 4.83, 2.52, 1.11, 1.56, 3.02, 1.56]","[20, 21, 34, 11, 28, 24, 29, 90, 82, 68, 20, 24, 53, 63, 80, 62, 88, 90, 86]"
24,Mitchel Bakker,"[0.14, 0.1, 1.07, 0.07, 0.12, 0.22, 2.26, 53.63, 79.6, 3.65, 2.0, 0.97, 1.83, 5.08, 1.07, 0.72, 1.4, 1.04, 0.64]","[91, 88, 83, 50, 68, 80, 63, 56, 66, 47, 46, 70, 73, 67, 5, 20, 75, 5, 30]"
25,Ridle Baku,"[0.17, 0.1, 0.98, 0.1, 0.14, 0.24, 2.23, 54.1, 78.4, 4.4, 1.74, 0.8, 1.57, 5.48, 1.74, 0.73, 1.53, 2.06, 0.77]","[94, 88, 77, 64, 78, 88, 62, 57, 60, 69, 35, 63, 61, 74, 36, 22, 87, 53, 39]"
26,Alejandro Balde,"[0.03, 0.06, 0.65, 0.2, 0.16, 0.23, 2.35, 60.97, 88.1, 2.97, 3.79, 1.93, 2.91, 8.46, 1.44, 0.42, 1.01, 0.59, 0.62]","[46, 69, 52, 88, 84, 82, 68, 78, 97, 21, 96, 96, 93, 95, 18, 2, 35, 1, 27]"
27,Thierno Balde,"[0.0, 0.01, 0.29, 0.04, 0.05, 0.06, 1.88, 38.92, 82.0, 2.51, 2.76, 1.5, 1.42, 4.93, 1.13, 0.96, 0.63, 1.63, 0.29]","[20, 10, 16, 34, 16, 7, 43, 8, 77, 9, 78, 90, 55, 65, 6, 46, 3, 30, 7]"
28,Iván Balliu,"[0.0, 0.01, 0.17, 0.0, 0.08, 0.09, 1.84, 51.52, 76.9, 3.65, 2.09, 0.31, 0.72, 4.09, 1.45, 0.7, 0.72, 2.01, 0.81]","[20, 5, 5, 11, 38, 24, 40, 46, 47, 46, 49, 14, 15, 46, 19, 18, 7, 50, 43]"
29,Fodé Ballo-Touré,"[0.14, 0.08, 0.68, 0.0, 0.03, 0.12, 1.09, 48.28, 83.3, 3.69, 1.91, 0.82, 1.5, 5.2, 2.19, 0.96, 2.05, 0.55, 1.78]","[90, 81, 56, 11, 4, 41, 4, 33, 81, 47, 43, 64, 60, 69, 62, 46, 99, 1, 91]"
30,Melvin Bard,"[0.0, 0.02, 0.26, 0.0, 0.03, 0.05, 1.1, 55.15, 79.8, 3.52, 2.24, 0.84, 0.95, 4.62, 3.52, 2.35, 1.28, 1.47, 1.21]","[20, 19, 11, 11, 7, 5, 4, 60, 67, 41, 59, 65, 33, 59, 98, 98, 63, 22, 72]"
31,Jérémie Bela,"[0.12, 0.07, 1.45, 0.12, 0.02, 0.1, 1.21, 31.49, 66.9, 2.91, 2.66, 1.09, 1.82, 6.54, 0.73, 1.09, 1.21, 0.97, 0.24]","[88, 76, 95, 69, 4, 28, 8, 1, 9, 18, 75, 78, 72, 83, 1, 61, 56, 3, 6]"
32,Raoul Bellanova,"[0.0, 0.09, 0.58, 0.0, 0.06, 0.16, 1.31, 53.18, 76.1, 1.9, 4.24, 1.17, 2.19, 6.14, 2.34, 0.73, 1.17, 2.34, 0.88]","[20, 83, 45, 11, 25, 56, 11, 55, 44, 3, 97, 82, 82, 80, 71, 21, 50, 69, 48]"
33,Ramy Bensebaini,"[0.15, 0.13, 1.41, 0.04, 0.08, 0.22, 1.34, 55.32, 78.2, 3.66, 1.45, 0.44, 1.96, 3.56, 1.23, 1.31, 1.6, 3.56, 2.47]","[91, 95, 94, 28, 44, 78, 12, 61, 59, 47, 24, 28, 76, 33, 10, 78, 90, 99, 99]"
34,Yuri Berchiche,"[0.04, 0.05, 1.05, 0.04, 0.05, 0.1, 2.21, 59.1, 82.5, 6.7, 2.21, 0.45, 0.9, 3.55, 2.09, 1.5, 1.38, 2.21, 1.91]","[51, 55, 81, 29, 22, 31, 61, 74, 79, 94, 55, 31, 28, 32, 57, 88, 73, 60, 93]"
35,Bartosz Bereszyński,"[0.0, 0.01, 0.2, 0.07, 0.02, 0.03, 0.66, 49.42, 74.5, 3.37, 1.85, 0.33, 0.92, 3.1, 2.05, 1.58, 1.45, 1.85, 1.32]","[20, 3, 8, 49, 2, 1, 1, 35, 32, 36, 41, 17, 29, 25, 50, 92, 81, 41, 76]"
36,Bartosz Bereszyński,"[0.0, 0.01, 0.2, 0.07, 0.02, 0.03, 0.66, 49.42, 74.5, 3.37, 1.85, 0.33, 0.92, 3.1, 2.05, 1.58, 1.45, 1.85, 1.32]","[20, 3, 8, 49, 2, 1, 1, 35, 32, 36, 41, 17, 29, 25, 50, 92, 81, 41, 76]"
37,Quentin Bernard,"[0.0, 0.0, 0.0, 0.14, 0.09, 0.09, 1.57, 59.57, 77.7, 3.86, 0.57, 0.14, 0.29, 2.0, 1.29, 2.14, 1.29, 2.43, 0.43]","[20, 1, 1, 78, 47, 24, 23, 76, 55, 53, 1, 2, 3, 7, 13, 98, 63, 73, 14]"
38,Juan Bernat,"[0.05, 0.04, 0.33, 0.19, 0.15, 0.19, 1.92, 58.46, 92.2, 2.29, 1.12, 0.98, 3.09, 7.54, 2.01, 0.47, 0.66, 1.12, 0.33]","[60, 50, 19, 86, 78, 67, 45, 73, 99, 6, 12, 71, 94, 89, 49, 4, 5, 9, 8]"
39,Victor Bernth Kristiansen,"[0.0, 0.02, 0.33, 0.07, 0.08, 0.09, 1.51, 48.89, 68.9, 2.75, 1.51, 0.52, 0.46, 2.81, 3.47, 0.59, 1.77, 2.62, 0.72]","[20, 20, 19, 48, 39, 25, 21, 35, 12, 14, 25, 35, 6, 20, 98, 12, 95, 80, 38]"
40,Cristiano Biraghi,"[0.07, 0.04, 0.85, 0.14, 0.19, 0.23, 4.66, 70.35, 71.9, 5.68, 2.43, 0.25, 0.92, 3.99, 2.29, 0.49, 1.13, 1.48, 0.67]","[73, 47, 68, 78, 93, 84, 99, 91, 21, 89, 65, 8, 29, 41, 69, 5, 47, 23, 34]"
41,Samuele Birindelli,"[0.0, 0.07, 0.9, 0.06, 0.14, 0.21, 2.25, 49.95, 73.6, 2.76, 3.54, 0.71, 1.93, 7.78, 2.25, 1.03, 1.8, 1.93, 0.39]","[20, 75, 72, 47, 77, 77, 63, 39, 28, 14, 91, 53, 75, 91, 65, 55, 97, 45, 12]"
42,Lautaro Blanco,"[0.0, 0.0, 0.1, 0.21, 0.15, 0.17, 2.37, 42.94, 56.5, 2.89, 4.23, 1.03, 0.62, 7.84, 1.65, 0.21, 0.83, 1.03, 0.0]","[20, 1, 3, 90, 83, 59, 69, 16, 1, 17, 97, 73, 10, 92, 31, 1, 14, 4, 1]"
43,Daley Blind,"[0.0, 0.05, 0.67, 0.0, 0.03, 0.07, 2.0, 72.03, 84.1, 7.15, 0.33, 0.17, 0.67, 2.16, 3.16, 1.0, 1.66, 2.5, 1.5]","[20, 56, 55, 11, 7, 15, 49, 92, 86, 97, 1, 3, 12, 8, 94, 52, 93, 76, 83]"
44,Neto Borges,"[0.1, 0.1, 0.73, 0.03, 0.09, 0.18, 2.45, 47.53, 77.7, 3.18, 2.19, 1.49, 2.19, 6.0, 2.38, 1.3, 1.43, 1.97, 1.14]","[83, 87, 60, 25, 47, 66, 73, 28, 55, 29, 55, 90, 82, 80, 74, 77, 78, 48, 68]"
45,Domagoj Bradarić,"[0.0, 0.01, 0.28, 0.12, 0.09, 0.1, 1.68, 46.2, 74.2, 2.08, 2.52, 0.68, 0.88, 4.28, 1.04, 0.84, 0.8, 1.76, 0.56]","[20, 4, 13, 68, 55, 30, 26, 25, 31, 4, 68, 51, 26, 51, 4, 33, 12, 36, 24]"
46,James Bree,"[0.0, 0.02, 0.63, 0.15, 0.28, 0.3, 3.59, 46.26, 64.2, 4.33, 1.52, 0.41, 0.7, 3.67, 1.26, 0.93, 0.85, 2.3, 1.56]","[22, 27, 55, 80, 99, 95, 95, 26, 3, 64, 32, 23, 23, 41, 9, 23, 19, 56, 79]"
47,Cédric Brunner,"[0.0, 0.01, 0.39, 0.0, 0.06, 0.07, 1.44, 45.02, 67.3, 2.99, 1.24, 0.35, 0.39, 1.05, 1.52, 1.67, 0.93, 3.07, 1.44]","[20, 8, 28, 11, 25, 16, 19, 22, 10, 23, 18, 19, 4, 1, 23, 95, 26, 92, 80]"
48,Andreas Bruus,"[0.0, 0.04, 0.61, 0.11, 0.09, 0.13, 1.77, 35.22, 69.9, 2.27, 2.6, 0.88, 1.33, 6.47, 0.66, 0.94, 0.72, 1.33, 0.17]","[20, 46, 47, 65, 55, 46, 36, 3, 14, 6, 70, 67, 52, 83, 1, 45, 7, 15, 3]"
49,Lee Buchanan,"[0.19, 0.06, 0.95, 0.0, 0.15, 0.21, 1.33, 50.91, 67.0, 4.0, 1.91, 0.0, 1.72, 3.81, 2.67, 2.29, 0.95, 4.0, 1.53]","[96, 62, 74, 11, 80, 75, 12, 44, 9, 59, 43, 1, 67, 39, 86, 98, 28, 99, 83]"
50,Hugo Bueno,"[0.0, 0.01, 0.27, 0.07, 0.09, 0.1, 2.06, 46.65, 80.6, 2.68, 3.57, 0.89, 0.96, 4.4, 2.27, 0.69, 0.96, 2.47, 0.69]","[20, 12, 13, 49, 52, 33, 53, 27, 71, 13, 92, 68, 34, 55, 66, 17, 28, 75, 35]"
51,Dan Burn,"[0.03, 0.06, 0.61, 0.0, 0.04, 0.1, 1.16, 49.61, 79.4, 3.41, 0.84, 0.32, 1.79, 1.33, 1.74, 0.93, 1.22, 3.47, 2.43]","[42, 68, 47, 11, 9, 28, 5, 37, 64, 37, 5, 16, 71, 2, 36, 43, 57, 98, 98]"
52,Maxime Busi,"[0.0, 0.01, 0.26, 0.09, 0.06, 0.07, 1.64, 52.98, 75.6, 4.92, 2.16, 0.6, 0.86, 3.8, 1.81, 1.21, 1.21, 2.07, 1.21]","[20, 5, 11, 56, 26, 15, 25, 54, 41, 80, 53, 45, 25, 39, 41, 71, 55, 53, 71]"
53,Aurélio Buta,"[0.18, 0.04, 0.55, 0.12, 0.2, 0.24, 1.89, 50.18, 74.5, 3.11, 3.05, 0.61, 2.87, 7.5, 2.32, 0.61, 1.4, 2.32, 1.59]","[95, 43, 43, 69, 95, 86, 43, 41, 32, 26, 83, 46, 92, 88, 70, 14, 76, 67, 87]"
