,Name,Attribute Vector,Percentiles
31,Yehvann Diouf,"[0.23, 1.0, 78.1, 0.27, 0.0, 45.2, 36.71, 28.3, 5.97, 34.3, 9.3, 1.13, 12.7]","[94, 81, 93, 41, 23, 95, 50, 24, 23, 18, 97, 53, 22]"
32,Marko Dmitrović,"[0.09, 0.84, 79.2, 0.23, 0.0, 44.4, 39.48, 56.8, 8.48, 61.5, 6.1, 0.58, 11.7]","[75, 93, 96, 5, 23, 93, 69, 94, 88, 98, 56, 12, 10]"
33,Gianluigi Donnarumma,"[0.13, 1.09, 75.9, 0.26, 25.0, 28.9, 27.94, 15.4, 5.51, 24.0, 6.5, 0.76, 12.4]","[83, 77, 85, 31, 69, 54, 3, 3, 15, 2, 63, 25, 18]"
34,Bartłomiej Drągowski,"[-0.13, 1.65, 69.5, 0.25, 20.0, 18.8, 38.65, 37.6, 5.99, 46.5, 2.8, 0.98, 14.1]","[23, 20, 32, 22, 61, 28, 62, 57, 23, 65, 6, 42, 40]"
35,Maxime Dupé,"[0.01, 1.5, 70.4, 0.28, 42.9, 23.7, 36.11, 24.4, 6.95, 37.2, 5.8, 0.55, 10.1]","[53, 37, 40, 58, 85, 43, 47, 16, 48, 31, 46, 8, 3]"
36,Ederson,"[-0.05, 0.78, 70.4, 0.27, 0.0, 39.1, 36.43, 20.6, 4.3, 34.8, 6.1, 0.91, 15.8]","[38, 96, 40, 41, 23, 86, 49, 11, 3, 19, 56, 38, 68]"
37,Łukasz Fabiański,"[-0.03, 1.39, 69.7, 0.28, 33.3, 24.2, 29.07, 54.0, 7.2, 44.8, 5.7, 0.72, 13.0]","[42, 46, 33, 58, 78, 44, 5, 91, 54, 58, 44, 23, 27]"
38,Ralf Fährmann,"[0.03, 1.14, 77.8, 0.21, 0.0, 45.5, 42.59, 43.3, 7.29, 48.9, 6.8, 0.79, 11.6]","[60, 72, 93, 1, 23, 96, 86, 74, 58, 73, 69, 29, 8]"
39,Wladimiro Falcone,"[0.01, 1.21, 73.7, 0.24, 16.7, 15.8, 33.47, 56.8, 7.42, 53.5, 4.3, 1.11, 14.1]","[53, 66, 66, 12, 54, 19, 26, 94, 62, 90, 19, 50, 40]"
40,Aitor Fernández,"[-0.01, 0.9, 75.3, 0.24, 38.1, 40.29, 50.9, 8.29, 54.2, 4.4, 1.76, 16.3]","[46, 90, 81, 12, 82, 73, 86, 84, 93, 21, 91, 78]"
41,Álvaro Fernández,"[-0.16, 1.64, 64.0, 0.31, 18.2, 34.73, 55.7, 9.36, 54.8, 3.3, 1.36, 16.3]","[18, 20, 13, 89, 26, 34, 91, 98, 95, 11, 76, 78]"
42,Fernando,"[0.0, 1.67, 70.3, 0.29, 20.0, 11.1, 38.6, 39.1, 9.34, 42.9, 6.4, 0.71, 12.4]","[52, 18, 38, 72, 61, 8, 62, 62, 98, 49, 61, 23, 18]"
43,Mark Flekken,"[0.12, 1.2, 76.0, 0.27, 0.0, 39.0, 45.15, 38.5, 6.83, 57.7, 6.9, 1.2, 15.0]","[78, 68, 86, 41, 23, 85, 93, 61, 43, 96, 72, 58, 54]"
44,Yahia Fofana,"[-0.15, 1.73, 66.7, 0.27, 50.0, 9.1, 32.09, 35.2, 6.27, 41.7, 11.9, 0.82, 11.8]","[20, 15, 21, 41, 92, 4, 12, 52, 33, 45, 98, 32, 12]"
45,Fraser Forster,"[-0.11, 1.61, 62.9, 0.34, 33.3, 26.7, 29.23, 27.4, 6.65, 36.5, 2.4, 1.23, 15.9]","[28, 21, 11, 99, 78, 48, 6, 23, 37, 27, 4, 62, 70]"
46,Gauthier Gallon,"[-0.27, 2.19, 66.1, 0.29, 0.0, 0.0, 35.6, 35.2, 8.13, 44.4, 6.7, 0.3, 8.8]","[10, 2, 19, 72, 23, 1, 41, 52, 80, 55, 67, 1, 1]"
47,David de Gea,"[0.02, 1.1, 71.7, 0.27, 20.0, 44.0, 33.8, 30.6, 4.62, 45.0, 3.1, 0.92, 15.4]","[58, 75, 47, 41, 61, 92, 30, 35, 5, 60, 9, 39, 62]"
48,Dean Henderson,"[-0.23, 1.72, 65.9, 0.28, 50.0, 33.3, 39.72, 47.2, 8.67, 45.3, 6.9, 1.5, 15.6]","[12, 15, 17, 58, 92, 72, 71, 80, 93, 62, 72, 85, 64]"
49,Daniel Iversen,"[-0.18, 1.83, 66.1, 0.29, 0.0, 8.3, 34.25, 47.1, 9.5, 46.2, 7.9, 0.5, 10.3]","[15, 10, 19, 72, 23, 4, 31, 80, 98, 64, 87, 3, 4]"
50,Sam Johnstone,"[0.11, 1.11, 76.5, 0.24, 0.0, 33.3, 33.11, 31.8, 5.11, 42.8, 1.9, 1.22, 15.4]","[77, 74, 88, 12, 23, 72, 22, 40, 8, 47, 1, 61, 62]"
51,Gregor Kobel,"[0.18, 1.11, 76.1, 0.28, 50.0, 43.3, 41.61, 21.3, 6.89, 35.8, 5.0, 1.34, 16.4]","[91, 73, 87, 58, 92, 91, 80, 13, 46, 25, 31, 74, 81]"
52,Alban Lafont,"[0.12, 1.53, 74.7, 0.26, 0.0, 27.3, 35.12, 37.9, 6.87, 50.1, 7.1, 0.98, 12.3]","[77, 31, 77, 31, 23, 53, 36, 58, 45, 79, 76, 43, 15]"
53,Benjamin Lecomte,"[0.16, 1.24, 75.0, 0.28, 50.0, 32.1, 34.36, 49.9, 8.45, 45.1, 4.5, 0.83, 12.5]","[87, 62, 79, 58, 92, 68, 31, 83, 87, 61, 23, 32, 19]"
54,Benjamin Lecomte,"[0.16, 1.24, 75.0, 0.28, 50.0, 32.1, 34.36, 49.9, 8.45, 45.1, 4.5, 0.83, 12.5]","[87, 62, 79, 58, 92, 68, 31, 83, 87, 61, 23, 32, 19]"
55,Benjamin Leroy,"[-0.36, 1.93, 60.9, 0.3, 0.0, 12.9, 30.62, 52.4, 6.82, 52.1, 4.6, 1.74, 16.9]","[7, 8, 4, 81, 23, 11, 10, 88, 41, 87, 25, 90, 88]"
56,Hugo Lloris,"[-0.01, 1.48, 68.6, 0.3, 0.0, 30.0, 32.33, 29.7, 7.48, 25.8, 6.5, 1.38, 14.6]","[46, 38, 28, 81, 23, 59, 15, 29, 63, 4, 63, 77, 49]"
57,Pau López,"[-0.04, 1.09, 74.1, 0.25, 0.0, 28.9, 35.38, 25.8, 5.12, 40.1, 6.0, 1.25, 15.7]","[39, 77, 70, 22, 23, 54, 38, 18, 8, 38, 53, 65, 65]"
58,Andriy Lunin,"[-0.16, 1.0, 60.9, 0.29, 33.3, 31.0, 7.1, 5.11, 31.7, 3.0, 1.56, 21.5]","[18, 81, 4, 72, 72, 11, 1, 8, 7, 7, 87, 99]"
