,Name,Attribute Vector,Percentiles
18,Ángel Algobia,"[0.0, 0.02, 0.55, 0.0, 0.05, 0.07, 1.27, 41.2, 80.6, 3.32, 0.79, 0.32, 0.71, 0.87, 2.14, 0.24, 1.19, 0.87, 0.55]","[12, 13, 17, 8, 20, 13, 7, 30, 40, 15, 24, 15, 32, 17, 55, 1, 46, 40, 28]"
19,Domingos André Ribeiro Almeida,"[0.07, 0.05, 0.82, 0.14, 0.12, 0.17, 3.23, 49.7, 79.2, 6.98, 2.62, 1.63, 0.85, 2.52, 2.34, 0.71, 0.92, 0.57, 0.5]","[54, 32, 33, 76, 69, 54, 80, 50, 31, 85, 86, 91, 38, 61, 66, 22, 22, 14, 25]"
20,Amath,"[0.15, 0.2, 1.69, 0.0, 0.06, 0.26, 1.76, 21.93, 71.9, 1.17, 2.42, 1.03, 2.93, 5.06, 2.13, 0.37, 0.95, 0.37, 0.59]","[78, 93, 86, 8, 32, 77, 24, 1, 8, 1, 85, 68, 94, 93, 54, 5, 24, 7, 32]"
21,Nadiem Amiri,"[0.2, 0.11, 1.91, 0.13, 0.11, 0.21, 3.09, 50.0, 83.4, 5.07, 2.5, 1.51, 1.38, 3.22, 1.58, 0.72, 0.86, 0.72, 0.07]","[88, 70, 90, 72, 63, 64, 75, 51, 58, 52, 86, 88, 57, 72, 21, 23, 14, 25, 1]"
22,Sofyan Amrabat,"[0.0, 0.02, 0.59, 0.05, 0.05, 0.07, 1.98, 67.12, 88.8, 7.93, 1.62, 0.54, 0.27, 1.08, 1.76, 0.95, 1.04, 0.81, 0.5]","[12, 12, 19, 29, 22, 14, 34, 89, 95, 92, 67, 34, 6, 27, 33, 42, 30, 34, 24]"
23,Benjamin André,"[0.03, 0.05, 0.74, 0.03, 0.06, 0.1, 2.16, 71.73, 83.6, 9.54, 1.27, 0.59, 1.08, 1.42, 3.95, 1.45, 1.54, 1.85, 2.81]","[27, 31, 29, 19, 28, 26, 43, 94, 60, 98, 47, 38, 48, 38, 99, 81, 81, 90, 98]"
24,Robert Andrich,"[0.08, 0.06, 1.07, 0.05, 0.05, 0.11, 1.57, 53.52, 84.0, 3.52, 0.59, 0.24, 0.77, 0.29, 2.21, 1.44, 1.28, 1.87, 1.87]","[57, 42, 54, 34, 19, 27, 16, 61, 61, 19, 15, 7, 35, 1, 59, 81, 58, 91, 88]"
25,Jaidon Anthony,"[0.21, 0.16, 1.58, 0.07, 0.07, 0.24, 2.72, 37.66, 73.6, 3.51, 2.22, 1.07, 2.36, 5.16, 2.15, 0.72, 2.15, 1.36, 0.72]","[90, 86, 84, 44, 41, 73, 64, 20, 10, 18, 81, 72, 85, 93, 55, 22, 99, 72, 42]"
26,Marcos Antônio,"[0.12, 0.15, 0.49, 0.12, 0.04, 0.18, 1.1, 66.15, 91.3, 4.77, 0.37, 0.61, 0.12, 0.98, 1.35, 1.35, 1.22, 2.2, 0.0]","[71, 84, 14, 69, 12, 57, 4, 88, 98, 47, 5, 39, 1, 21, 11, 74, 50, 96, 1]"
27,Mauro Arambarri,"[0.0, 0.02, 0.73, 0.09, 0.14, 0.16, 2.27, 38.2, 77.4, 2.99, 0.73, 0.36, 0.27, 0.64, 1.27, 1.27, 1.54, 1.72, 1.36]","[12, 9, 28, 54, 77, 50, 48, 21, 22, 8, 20, 20, 7, 10, 8, 69, 81, 88, 79]"
