,Name,Attribute Vector,Percentiles
18,Ezequiel Ávila,"[0.32, 0.23, 3.37, 0.11, 0.09, 0.32, 2.16, 27.7, 54.6, 2.05, 1.21, 0.9, 3.21, 5.06, 0.42, 0.42, 0.63, 0.84, 1.84]","[42, 13, 86, 44, 32, 12, 38, 84, 3, 70, 44, 54, 3, 27, 26, 89, 48, 56, 49]"
19,Taiwo Awoniyi,"[0.64, 0.42, 2.24, 0.06, 0.07, 0.49, 1.6, 14.29, 64.1, 0.77, 1.15, 0.45, 3.53, 3.53, 1.09, 0.26, 1.15, 1.28, 1.28]","[92, 68, 32, 28, 18, 54, 7, 5, 24, 5, 41, 14, 8, 3, 89, 74, 95, 90, 30]"
20,Sardar Azmoun,"[0.3, 0.36, 2.54, 0.15, 0.26, 0.63, 3.13, 23.13, 66.8, 2.76, 1.12, 0.82, 4.63, 4.7, 0.9, 0.15, 0.6, 1.19, 2.16]","[41, 53, 48, 65, 98, 82, 83, 62, 39, 84, 38, 47, 41, 20, 80, 42, 44, 87, 59]"
21,Folarin Balogun,"[0.45, 0.63, 3.63, 0.06, 0.11, 0.74, 2.4, 17.47, 70.1, 1.65, 1.68, 1.05, 5.94, 8.49, 0.27, 0.09, 0.6, 0.45, 0.42]","[73, 93, 91, 24, 54, 91, 54, 18, 58, 47, 64, 67, 81, 91, 9, 21, 44, 27, 3]"
22,Patrick Bamford,"[0.24, 0.42, 2.85, 0.12, 0.06, 0.48, 1.6, 19.78, 68.8, 1.37, 1.01, 0.65, 4.93, 5.7, 0.53, 0.3, 0.71, 0.77, 2.14]","[23, 67, 68, 50, 12, 52, 7, 34, 52, 27, 30, 32, 59, 46, 40, 82, 59, 52, 58]"
23,Christoph Baumgartner,"[0.25, 0.25, 2.31, 0.11, 0.15, 0.4, 3.12, 32.08, 66.7, 3.51, 2.66, 1.89, 4.14, 5.08, 1.26, 0.53, 2.0, 0.67, 2.52]","[26, 18, 35, 44, 73, 35, 83, 92, 39, 93, 87, 94, 23, 29, 93, 97, 99, 43, 69]"
24,Ihlas Bebou,"[0.38, 0.24, 1.78, 0.0, 0.06, 0.31, 2.86, 23.45, 66.7, 1.46, 1.72, 1.65, 4.39, 7.37, 1.21, 0.44, 0.57, 0.95, 1.78]","[59, 16, 9, 6, 14, 11, 77, 62, 39, 32, 66, 92, 32, 80, 92, 93, 37, 67, 47]"
25,Sheraldo Becker,"[0.32, 0.23, 2.51, 0.21, 0.16, 0.39, 2.85, 22.82, 58.8, 1.5, 3.85, 0.87, 4.04, 8.58, 0.53, 0.13, 0.53, 0.18, 0.5]","[42, 12, 47, 84, 79, 30, 76, 59, 10, 36, 97, 52, 20, 92, 39, 36, 32, 6, 6]"
26,Kevin Behrens,"[0.38, 0.26, 2.01, 0.05, 0.07, 0.33, 2.73, 28.23, 58.9, 4.07, 0.67, 0.62, 4.89, 5.46, 0.62, 0.24, 1.01, 1.58, 10.11]","[59, 19, 20, 19, 21, 18, 70, 85, 11, 94, 11, 30, 58, 39, 48, 69, 87, 95, 99]"
27,Andrea Belotti,"[0.14, 0.34, 1.83, 0.09, 0.11, 0.45, 2.2, 19.93, 66.4, 1.17, 1.55, 0.47, 4.36, 6.89, 0.89, 0.33, 0.89, 0.38, 3.24]","[9, 48, 10, 38, 51, 49, 41, 35, 35, 18, 58, 15, 30, 72, 79, 83, 80, 19, 81]"
28,Eliesse Ben Seghir,"[0.31, 0.16, 1.69, 0.08, 0.11, 0.27, 2.53, 38.22, 78.6, 4.67, 2.83, 1.15, 3.37, 8.27, 1.61, 0.38, 1.38, 0.08, 0.69]","[41, 1, 7, 34, 44, 4, 61, 95, 90, 95, 90, 74, 5, 89, 99, 86, 99, 3, 14]"
29,Wissam Ben Yedder,"[0.55, 0.5, 2.73, 0.2, 0.17, 0.66, 2.46, 25.85, 74.0, 3.14, 1.91, 0.92, 6.21, 8.06, 0.65, 0.17, 0.65, 0.0, 0.55]","[87, 87, 61, 80, 81, 84, 56, 79, 74, 88, 74, 58, 85, 88, 52, 49, 53, 2, 9]"
30,Karim Benzema,"[0.52, 0.65, 4.34, 0.13, 0.25, 0.89, 4.46, 44.81, 86.1, 5.47, 2.72, 0.87, 7.18, 6.5, 0.36, 0.06, 0.52, 0.42, 0.55]","[82, 95, 97, 58, 97, 98, 97, 97, 99, 98, 89, 52, 97, 61, 16, 11, 30, 22, 10]"
31,Mergim Berisha,"[0.32, 0.27, 2.73, 0.21, 0.14, 0.41, 1.82, 18.33, 47.1, 1.5, 1.07, 0.27, 4.34, 5.31, 0.59, 0.0, 0.86, 1.02, 2.09]","[43, 24, 63, 85, 70, 36, 15, 25, 1, 34, 35, 6, 30, 35, 44, 2, 78, 76, 56]"
32,Beto,"[0.38, 0.43, 2.54, 0.04, 0.11, 0.53, 2.07, 12.64, 63.5, 0.55, 1.06, 1.35, 5.5, 5.12, 0.68, 0.25, 0.76, 1.27, 2.96]","[58, 71, 48, 15, 46, 64, 33, 2, 24, 1, 34, 82, 69, 30, 56, 74, 71, 89, 75]"
33,El Bilal Touré,"[0.46, 0.43, 1.99, 0.13, 0.09, 0.51, 2.52, 18.46, 71.6, 1.0, 1.2, 0.46, 3.72, 3.45, 0.27, 0.07, 0.53, 1.59, 3.12]","[76, 70, 18, 59, 29, 60, 61, 27, 63, 10, 43, 15, 12, 3, 8, 13, 33, 96, 78]"
34,El Bilal Touré,"[0.46, 0.43, 1.99, 0.13, 0.09, 0.51, 2.52, 18.46, 71.6, 1.0, 1.2, 0.46, 3.72, 3.45, 0.27, 0.07, 0.53, 1.59, 3.12]","[76, 70, 18, 59, 29, 60, 61, 27, 63, 10, 43, 15, 12, 3, 8, 13, 33, 96, 78]"
35,Federico Bonazzoli,"[0.16, 0.19, 2.57, 0.08, 0.09, 0.28, 2.09, 28.47, 74.6, 3.46, 0.88, 0.97, 2.49, 5.39, 0.4, 0.24, 0.72, 0.0, 0.48]","[10, 5, 50, 34, 32, 6, 33, 86, 77, 93, 26, 59, 1, 36, 23, 70, 62, 2, 5]"
36,Rafael Borré,"[0.07, 0.26, 2.07, 0.14, 0.18, 0.44, 2.62, 33.91, 71.1, 2.55, 2.0, 1.17, 5.24, 7.72, 1.86, 0.14, 0.9, 0.69, 2.07]","[3, 19, 23, 60, 85, 44, 65, 94, 61, 79, 75, 75, 65, 83, 99, 38, 80, 45, 54]"
37,Lucas Boyé,"[0.26, 0.27, 2.6, 0.07, 0.11, 0.38, 2.74, 23.76, 78.5, 2.3, 2.12, 2.85, 4.24, 5.85, 1.32, 0.55, 1.21, 1.68, 1.79]","[29, 29, 51, 33, 42, 27, 70, 66, 90, 74, 79, 99, 26, 48, 94, 97, 97, 99, 47]"
38,Martin Braithwaite,"[0.37, 0.34, 2.13, 0.07, 0.05, 0.39, 1.76, 16.34, 65.9, 1.98, 1.17, 0.62, 2.75, 4.62, 0.44, 0.18, 0.37, 0.4, 1.76]","[55, 47, 26, 33, 8, 29, 15, 14, 32, 67, 41, 30, 1, 19, 30, 52, 14, 20, 44]"
39,Ante Budimir,"[0.4, 0.39, 2.9, 0.0, 0.04, 0.42, 1.7, 15.77, 61.6, 1.15, 1.15, 0.8, 5.91, 4.91, 0.95, 0.25, 0.5, 0.95, 4.86]","[63, 58, 70, 6, 1, 41, 14, 9, 17, 16, 40, 45, 78, 24, 80, 73, 29, 67, 92]"
40,Dominic Calvert-Lewin,"[0.08, 0.39, 2.32, 0.08, 0.06, 0.46, 1.85, 17.07, 59.3, 1.16, 1.39, 1.16, 4.56, 4.33, 0.31, 0.23, 0.39, 1.39, 5.1]","[3, 59, 35, 34, 13, 52, 18, 15, 11, 17, 50, 74, 40, 9, 11, 68, 15, 92, 92]"
41,Nicolò Cambiaghi,"[0.42, 0.24, 2.52, 0.07, 0.08, 0.32, 3.71, 30.26, 74.3, 2.94, 5.11, 1.54, 3.92, 6.93, 2.1, 0.63, 1.33, 0.56, 0.21]","[68, 15, 47, 32, 23, 12, 91, 88, 75, 86, 98, 89, 17, 74, 99, 98, 98, 36, 2]"
